             A          B         C          D         E         F
0     0.936817   6.596002 -0.465778   0.290543 -1.899890  1.087049
1     2.382046  10.572118 -4.408296  -1.700597  0.555650 -4.909498
2    17.247862  40.919271  2.904452  -4.282972 -0.619782  3.706441
3    -0.035115  17.289082  0.061305   0.231585 -2.164124  2.488175
4    13.420300   2.317299 -0.322547  -3.768082  0.376588 -0.985766
5    16.947599   2.167464 -0.193590  -4.196255 -1.015142  1.336243
6     1.221847   1.581822 -0.446402   1.154098 -1.400039  0.806794
7     1.533636   6.893890 -0.492879   0.901921 -2.224157  1.767992
8     4.997023   0.566217 -0.434543   2.062075 -1.991989  1.639967
9     5.148542   0.321898  1.000465  -2.073397 -1.147079  2.160217
10    1.348325   0.007630 -0.200248  -0.668896 -0.387930  0.336314
11   18.172217   2.879570  2.480572  -4.386018  0.041748  2.638487
12    3.149787   3.626159  0.279116   2.033158 -2.137350  2.786712
13    1.036315  11.713254 -0.681407   0.691191 -2.120029  0.934904
14    4.640011   0.200064 -2.089022   1.938821 -1.213142 -0.902951
15   26.628305   0.189626 -0.555103  -5.073982  2.694556 -3.242269
16    0.642041   0.756330  0.137271  -0.117261 -1.601255  2.048140
17    0.624195   9.493366 -0.865181  -1.311835  1.395453 -2.024883
18   -1.062363   2.930415 -0.177726  -0.120375 -2.174167  2.035302
19   33.100820   1.739226 -0.092499  -5.776463 -1.114822  0.995483
20   34.048950   1.270874 -0.327136  -5.818296 -0.268854  0.101928
21    3.927143   5.427255 -0.365097  -1.835945 -1.614194  1.508904
22    1.077759  12.019541 -0.362940   0.568023 -1.379664  0.778409
23    1.567364   1.498618  3.368016   1.262662 -0.960362  4.472841
24   39.896437   6.019488  0.205285  -6.247405 -1.128267  1.230695
25   -1.003504  21.558796  0.225988   0.059562 -0.055023  0.544045
26    0.812320   0.972707  0.806669  -0.590189  0.568652  0.153050
27    7.355630   0.196612  0.497227   2.544399 -2.694079  3.041162
28    0.821639   0.418216 -0.148706   0.083022 -0.868240  0.744357
29    1.938403   0.315811 -0.517760  -1.042558 -0.341586 -0.142690
30    0.081817   4.611339 -1.138028  -0.530815 -2.098998  1.155336
31   -0.214490   2.043147  0.188549  -0.582717 -1.802914  2.224021
32    1.048815   0.024044 -0.490545   0.384932 -1.422313  1.189450
33    3.474095   1.913214  0.559191  -1.977101 -1.950847  2.780071
34   21.140766   0.080068  0.865461  -4.499226 -0.345544  1.099513
35   13.848263   0.082861  0.486887  -3.598717  2.359866 -1.752045
36    0.630336   1.750562  0.085503  -0.952997  0.275335 -0.466721
37   29.548158   0.437717 -2.444901  -5.361110 -0.867321 -1.811056
38    0.691496   5.564340  0.143725  -0.194930 -2.018683  2.561187
39    3.033307   0.886540 -0.493619   1.581227 -1.617410  1.102217
40    7.454889   5.825541  0.936297   2.580090 -2.027591  2.713312
41   10.731539   4.162904 -0.053917  -3.369400 -1.603916  1.110455
42   19.620678   0.395209 -0.339676  -4.335531 -0.239040 -0.045752
43    9.102554   0.335285  0.380710  -2.873553 -1.412690  1.804806
44    4.169001   0.024422  2.023809  -1.807863 -0.429552  2.315596
45    1.190206   3.417616 -0.629279   1.500474 -1.656978  0.780619
46   11.252864   0.073668  0.146730  -3.217863 -0.665842  0.965829
47    1.598891   0.425130  0.252588   0.887116 -1.254550  1.513001
48   17.293630   1.124735 -0.463737  -4.118408 -0.671459  0.014354
49    0.583703   2.742743 -0.111484   1.266602 -0.399605  0.319740
50   -1.094648   3.104715  0.042222   0.061161 -0.757841  0.742545
51    4.993184   0.005073  1.226231  -2.022935 -0.237963  1.224468
52    1.838914   1.237249 -2.863518   1.269088 -2.383366 -0.455680
53   63.949896   4.447873  2.831257  -8.019377 -0.546783  3.852606
54    6.765747   1.846285 -0.100936  -2.671485 -0.953878  0.594531
55    2.840275   0.147635 -0.556261   1.396504 -1.933377  1.534636
56    4.682817   1.136029 -1.128382  -2.088225 -0.902524  0.254601
57    4.180656   0.843717  0.248464  -1.901324 -1.302269  1.418772
